Ingresos Totales,Egresos Totales,Balance,Consejo Financiero
8215,8915,-700,Prioriza gastos esenciales
3454,7949,-4495,Reduce los egresos para ahorrar
9996,4658,5338,Considera invertir una parte
3731,4425,-694,Prioriza gastos esenciales
9154,7470,1684,Mantén el buen ritmo de ahorro
6056,7438,-1382,Reduce los egresos para ahorrar
9110,5284,3826,Considera invertir una parte
4840,4500,340,Aumenta el ahorro con los ingresos actuales
2028,2133,-105,Prioriza gastos esenciales
8385,7766,619,Aumenta el ahorro con los ingresos actuales
1502,884,618,Aumenta el ahorro con los ingresos actuales
7910,904,7006,Considera invertir una parte
7938,8675,-737,Prioriza gastos esenciales
5488,2500,2988,Mantén el buen ritmo de ahorro
1206,6489,-5283,Reduce los egresos para ahorrar
6134,1960,4174,Considera invertir una parte
6977,7690,-713,Prioriza gastos esenciales
8721,7640,1081,Mantén el buen ritmo de ahorro
8035,4136,3899,Considera invertir una parte
2484,5309,-2825,Reduce los egresos para ahorrar
8858,4678,4180,Considera invertir una parte
1863,7745,-5882,Reduce los egresos para ahorrar
3790,7100,-3310,Reduce los egresos para ahorrar
8408,6497,1911,Mantén el buen ritmo de ahorro
9755,2548,7207,Considera invertir una parte
6116,5280,836,Aumenta el ahorro con los ingresos actuales
7019,1216,5803,Considera invertir una parte
2757,8439,-5682,Reduce los egresos para ahorrar
8574,6065,2509,Mantén el buen ritmo de ahorro
7374,5044,2330,Mantén el buen ritmo de ahorro
7892,5476,2416,Mantén el buen ritmo de ahorro
2678,3919,-1241,Reduce los egresos para ahorrar
4242,7739,-3497,Reduce los egresos para ahorrar
5636,749,4887,Considera invertir una parte
2059,1270,789,Aumenta el ahorro con los ingresos actuales
7668,4863,2805,Mantén el buen ritmo de ahorro
4157,1577,2580,Mantén el buen ritmo de ahorro
6915,8927,-2012,Reduce los egresos para ahorrar
3693,8401,-4708,Reduce los egresos para ahorrar
4627,5358,-731,Prioriza gastos esenciales
6450,7044,-594,Prioriza gastos esenciales
2663,5219,-2556,Reduce los egresos para ahorrar
6592,3314,3278,Considera invertir una parte
8392,3874,4518,Considera invertir una parte
2306,1752,554,Aumenta el ahorro con los ingresos actuales
7776,7496,280,Aumenta el ahorro con los ingresos actuales
6864,5173,1691,Mantén el buen ritmo de ahorro
8526,5030,3496,Considera invertir una parte
9901,7381,2520,Mantén el buen ritmo de ahorro
6575,7449,-874,Prioriza gastos esenciales
6530,6741,-211,Prioriza gastos esenciales
5413,8517,-3104,Reduce los egresos para ahorrar
4748,7441,-2693,Reduce los egresos para ahorrar
1663,7502,-5839,Reduce los egresos para ahorrar
2998,1831,1167,Mantén el buen ritmo de ahorro
8994,4761,4233,Considera invertir una parte
2495,8148,-5653,Reduce los egresos para ahorrar
4304,5615,-1311,Reduce los egresos para ahorrar
4763,5137,-374,Prioriza gastos esenciales
6232,5354,878,Aumenta el ahorro con los ingresos actuales
2853,3677,-824,Prioriza gastos esenciales
7585,8230,-645,Prioriza gastos esenciales
2291,2680,-389,Prioriza gastos esenciales
4581,5392,-811,Prioriza gastos esenciales
8554,7543,1011,Mantén el buen ritmo de ahorro
8280,637,7643,Considera invertir una parte
2636,6827,-4191,Reduce los egresos para ahorrar
4696,3972,724,Aumenta el ahorro con los ingresos actuales
1698,5949,-4251,Reduce los egresos para ahorrar
5737,3332,2405,Mantén el buen ritmo de ahorro
1854,4079,-2225,Reduce los egresos para ahorrar
9164,6471,2693,Mantén el buen ritmo de ahorro
6855,4664,2191,Mantén el buen ritmo de ahorro
8392,8441,-49,Prioriza gastos esenciales
7528,6069,1459,Mantén el buen ritmo de ahorro
6249,4800,1449,Mantén el buen ritmo de ahorro
6172,6769,-597,Prioriza gastos esenciales
2707,4318,-1611,Reduce los egresos para ahorrar
6791,2406,4385,Considera invertir una parte
6535,6754,-219,Prioriza gastos esenciales
5931,1260,4671,Considera invertir una parte
4510,8330,-3820,Reduce los egresos para ahorrar
1202,7850,-6648,Reduce los egresos para ahorrar
5218,6738,-1520,Reduce los egresos para ahorrar
9958,6590,3368,Considera invertir una parte
5389,6531,-1142,Reduce los egresos para ahorrar
3327,8187,-4860,Reduce los egresos para ahorrar
9004,8972,32,Aumenta el ahorro con los ingresos actuales
3931,2387,1544,Mantén el buen ritmo de ahorro
8777,3766,5011,Considera invertir una parte
1197,1166,31,Aumenta el ahorro con los ingresos actuales
8125,4688,3437,Considera invertir una parte
2930,1171,1759,Mantén el buen ritmo de ahorro
7287,7277,10,Aumenta el ahorro con los ingresos actuales
9800,8070,1730,Mantén el buen ritmo de ahorro
5282,8456,-3174,Reduce los egresos para ahorrar
3511,5624,-2113,Reduce los egresos para ahorrar
1659,6085,-4426,Reduce los egresos para ahorrar
3811,5277,-1466,Reduce los egresos para ahorrar
8098,4400,3698,Considera invertir una parte
7546,7177,369,Aumenta el ahorro con los ingresos actuales
2986,7481,-4495,Reduce los egresos para ahorrar
9338,6876,2462,Mantén el buen ritmo de ahorro
3911,1023,2888,Mantén el buen ritmo de ahorro
2734,2893,-159,Prioriza gastos esenciales
2843,3093,-250,Prioriza gastos esenciales
9680,7740,1940,Mantén el buen ritmo de ahorro
3976,7437,-3461,Reduce los egresos para ahorrar
2959,6690,-3731,Reduce los egresos para ahorrar
6759,5740,1019,Mantén el buen ritmo de ahorro
7694,6993,701,Aumenta el ahorro con los ingresos actuales
3385,3378,7,Aumenta el ahorro con los ingresos actuales
5736,4643,1093,Mantén el buen ritmo de ahorro
2802,4144,-1342,Reduce los egresos para ahorrar
9155,4932,4223,Considera invertir una parte
9120,1776,7344,Considera invertir una parte
7616,6311,1305,Mantén el buen ritmo de ahorro
6534,802,5732,Considera invertir una parte
5061,1138,3923,Considera invertir una parte
1262,555,707,Aumenta el ahorro con los ingresos actuales
7287,8650,-1363,Reduce los egresos para ahorrar
9815,2625,7190,Considera invertir una parte
3049,864,2185,Mantén el buen ritmo de ahorro
6423,7309,-886,Prioriza gastos esenciales
5548,5121,427,Aumenta el ahorro con los ingresos actuales
4108,5626,-1518,Reduce los egresos para ahorrar
8158,5622,2536,Mantén el buen ritmo de ahorro
8400,2146,6254,Considera invertir una parte
4170,1418,2752,Mantén el buen ritmo de ahorro
3255,3297,-42,Prioriza gastos esenciales
2154,7006,-4852,Reduce los egresos para ahorrar
5499,6370,-871,Prioriza gastos esenciales
7295,2031,5264,Considera invertir una parte
7197,8672,-1475,Reduce los egresos para ahorrar
2648,3845,-1197,Reduce los egresos para ahorrar
6539,8173,-1634,Reduce los egresos para ahorrar
5199,7449,-2250,Reduce los egresos para ahorrar
9445,7382,2063,Mantén el buen ritmo de ahorro
3557,2406,1151,Mantén el buen ritmo de ahorro
6592,3586,3006,Considera invertir una parte
1098,8652,-7554,Reduce los egresos para ahorrar
3200,6250,-3050,Reduce los egresos para ahorrar
3961,1562,2399,Mantén el buen ritmo de ahorro
5973,2476,3497,Considera invertir una parte
5433,1796,3637,Considera invertir una parte
3869,6729,-2860,Reduce los egresos para ahorrar
1956,8141,-6185,Reduce los egresos para ahorrar
9352,625,8727,Considera invertir una parte
6699,5132,1567,Mantén el buen ritmo de ahorro
7944,6788,1156,Mantén el buen ritmo de ahorro
5493,4096,1397,Mantén el buen ritmo de ahorro
5911,6668,-757,Prioriza gastos esenciales
4987,8061,-3074,Reduce los egresos para ahorrar
7015,8758,-1743,Reduce los egresos para ahorrar
2218,732,1486,Mantén el buen ritmo de ahorro
5496,6871,-1375,Reduce los egresos para ahorrar
5735,4706,1029,Mantén el buen ritmo de ahorro
5555,8443,-2888,Reduce los egresos para ahorrar
9050,7391,1659,Mantén el buen ritmo de ahorro
4446,7238,-2792,Reduce los egresos para ahorrar
2045,2972,-927,Prioriza gastos esenciales
7893,3239,4654,Considera invertir una parte
2693,5901,-3208,Reduce los egresos para ahorrar
4436,2261,2175,Mantén el buen ritmo de ahorro
9754,1376,8378,Considera invertir una parte
6895,4312,2583,Mantén el buen ritmo de ahorro
4354,1960,2394,Mantén el buen ritmo de ahorro
1225,2233,-1008,Reduce los egresos para ahorrar
5893,2105,3788,Considera invertir una parte
8022,6122,1900,Mantén el buen ritmo de ahorro
6600,7267,-667,Prioriza gastos esenciales
8996,7486,1510,Mantén el buen ritmo de ahorro
8683,4017,4666,Considera invertir una parte
5642,4235,1407,Mantén el buen ritmo de ahorro
8679,8934,-255,Prioriza gastos esenciales
9208,3090,6118,Considera invertir una parte
8339,1563,6776,Considera invertir una parte
3205,4824,-1619,Reduce los egresos para ahorrar
2069,5842,-3773,Reduce los egresos para ahorrar
4444,505,3939,Considera invertir una parte
2060,7989,-5929,Reduce los egresos para ahorrar
3327,8695,-5368,Reduce los egresos para ahorrar
4420,6466,-2046,Reduce los egresos para ahorrar
1301,617,684,Aumenta el ahorro con los ingresos actuales
1606,3051,-1445,Reduce los egresos para ahorrar
4170,6060,-1890,Reduce los egresos para ahorrar
1699,4789,-3090,Reduce los egresos para ahorrar
6088,1346,4742,Considera invertir una parte
1190,6816,-5626,Reduce los egresos para ahorrar
1980,6969,-4989,Reduce los egresos para ahorrar
3975,724,3251,Considera invertir una parte
7102,4708,2394,Mantén el buen ritmo de ahorro
2184,6783,-4599,Reduce los egresos para ahorrar
4327,2548,1779,Mantén el buen ritmo de ahorro
4394,6733,-2339,Reduce los egresos para ahorrar
9319,2328,6991,Considera invertir una parte
2816,2417,399,Aumenta el ahorro con los ingresos actuales
6854,4734,2120,Mantén el buen ritmo de ahorro
7709,7488,221,Aumenta el ahorro con los ingresos actuales
1569,2526,-957,Prioriza gastos esenciales
6442,4244,2198,Mantén el buen ritmo de ahorro
2895,509,2386,Mantén el buen ritmo de ahorro
3733,760,2973,Mantén el buen ritmo de ahorro
4863,6538,-1675,Reduce los egresos para ahorrar
8455,2719,5736,Considera invertir una parte
5014,7541,-2527,Reduce los egresos para ahorrar
2686,2560,126,Aumenta el ahorro con los ingresos actuales
4009,5787,-1778,Reduce los egresos para ahorrar
8806,2119,6687,Considera invertir una parte
1154,1842,-688,Prioriza gastos esenciales
2409,3332,-923,Prioriza gastos esenciales
1784,3324,-1540,Reduce los egresos para ahorrar
9096,2494,6602,Considera invertir una parte
8560,3990,4570,Considera invertir una parte
8343,8484,-141,Prioriza gastos esenciales
8206,2104,6102,Considera invertir una parte
6596,735,5861,Considera invertir una parte
6801,2408,4393,Considera invertir una parte
3806,4030,-224,Prioriza gastos esenciales
1537,5756,-4219,Reduce los egresos para ahorrar
6986,3135,3851,Considera invertir una parte
2841,8662,-5821,Reduce los egresos para ahorrar
9716,3060,6656,Considera invertir una parte
7971,5915,2056,Mantén el buen ritmo de ahorro
6625,3891,2734,Mantén el buen ritmo de ahorro
3950,6451,-2501,Reduce los egresos para ahorrar
8992,5968,3024,Considera invertir una parte
5780,8507,-2727,Reduce los egresos para ahorrar
3368,6913,-3545,Reduce los egresos para ahorrar
7655,7441,214,Aumenta el ahorro con los ingresos actuales
9173,5320,3853,Considera invertir una parte
5495,3398,2097,Mantén el buen ritmo de ahorro
7002,8046,-1044,Reduce los egresos para ahorrar
7614,577,7037,Considera invertir una parte
6919,8077,-1158,Reduce los egresos para ahorrar
1853,4727,-2874,Reduce los egresos para ahorrar
5146,1100,4046,Considera invertir una parte
4769,1565,3204,Considera invertir una parte
1574,2636,-1062,Reduce los egresos para ahorrar
2148,7443,-5295,Reduce los egresos para ahorrar
7293,8304,-1011,Reduce los egresos para ahorrar
7457,7065,392,Aumenta el ahorro con los ingresos actuales
8509,6484,2025,Mantén el buen ritmo de ahorro
5777,5642,135,Aumenta el ahorro con los ingresos actuales
4854,5170,-316,Prioriza gastos esenciales
3491,2690,801,Aumenta el ahorro con los ingresos actuales
4124,3212,912,Aumenta el ahorro con los ingresos actuales
6691,2692,3999,Considera invertir una parte
4051,1748,2303,Mantén el buen ritmo de ahorro
1004,4533,-3529,Reduce los egresos para ahorrar
6222,2497,3725,Considera invertir una parte
6315,4187,2128,Mantén el buen ritmo de ahorro
5869,4518,1351,Mantén el buen ritmo de ahorro
1876,2470,-594,Prioriza gastos esenciales
8027,8889,-862,Prioriza gastos esenciales
5142,6265,-1123,Reduce los egresos para ahorrar
7966,1702,6264,Considera invertir una parte
8079,8635,-556,Prioriza gastos esenciales
8987,6067,2920,Mantén el buen ritmo de ahorro
7799,8167,-368,Prioriza gastos esenciales
5465,6242,-777,Prioriza gastos esenciales
1635,6288,-4653,Reduce los egresos para ahorrar
2693,5908,-3215,Reduce los egresos para ahorrar
5752,1422,4330,Considera invertir una parte
9311,919,8392,Considera invertir una parte
1830,2704,-874,Prioriza gastos esenciales
6177,1620,4557,Considera invertir una parte
9932,1450,8482,Considera invertir una parte
9308,2836,6472,Considera invertir una parte
6949,5873,1076,Mantén el buen ritmo de ahorro
3838,2743,1095,Mantén el buen ritmo de ahorro
2150,3145,-995,Prioriza gastos esenciales
8560,5112,3448,Considera invertir una parte
2931,2365,566,Aumenta el ahorro con los ingresos actuales
2664,6528,-3864,Reduce los egresos para ahorrar
2081,7826,-5745,Reduce los egresos para ahorrar
1512,6871,-5359,Reduce los egresos para ahorrar
8805,6859,1946,Mantén el buen ritmo de ahorro
6237,8363,-2126,Reduce los egresos para ahorrar
1559,3728,-2169,Reduce los egresos para ahorrar
4672,4219,453,Aumenta el ahorro con los ingresos actuales
8404,2871,5533,Considera invertir una parte
4343,3391,952,Aumenta el ahorro con los ingresos actuales
5070,4256,814,Aumenta el ahorro con los ingresos actuales
1580,4725,-3145,Reduce los egresos para ahorrar
8004,594,7410,Considera invertir una parte
9130,3174,5956,Considera invertir una parte
4147,7398,-3251,Reduce los egresos para ahorrar
5249,1293,3956,Considera invertir una parte
2679,2616,63,Aumenta el ahorro con los ingresos actuales
4506,6279,-1773,Reduce los egresos para ahorrar
8253,6666,1587,Mantén el buen ritmo de ahorro
3744,1314,2430,Mantén el buen ritmo de ahorro
6188,845,5343,Considera invertir una parte
3141,2943,198,Aumenta el ahorro con los ingresos actuales
7617,8283,-666,Prioriza gastos esenciales
3479,1484,1995,Mantén el buen ritmo de ahorro
7484,8290,-806,Prioriza gastos esenciales
8421,1327,7094,Considera invertir una parte
5452,4031,1421,Mantén el buen ritmo de ahorro
6881,7647,-766,Prioriza gastos esenciales
7665,4951,2714,Mantén el buen ritmo de ahorro
3849,4376,-527,Prioriza gastos esenciales
8390,6459,1931,Mantén el buen ritmo de ahorro
7905,626,7279,Considera invertir una parte
3489,3677,-188,Prioriza gastos esenciales
5611,6524,-913,Prioriza gastos esenciales
3839,5609,-1770,Reduce los egresos para ahorrar
9527,4646,4881,Considera invertir una parte
6878,7696,-818,Prioriza gastos esenciales
7303,3868,3435,Considera invertir una parte
1851,4297,-2446,Reduce los egresos para ahorrar
2687,2292,395,Aumenta el ahorro con los ingresos actuales
7833,6232,1601,Mantén el buen ritmo de ahorro
3427,3976,-549,Prioriza gastos esenciales
5000,3917,1083,Mantén el buen ritmo de ahorro
6052,2145,3907,Considera invertir una parte
3738,3530,208,Aumenta el ahorro con los ingresos actuales
6732,3372,3360,Considera invertir una parte
6387,3572,2815,Mantén el buen ritmo de ahorro
9002,2354,6648,Considera invertir una parte
6536,4521,2015,Mantén el buen ritmo de ahorro
4913,5162,-249,Prioriza gastos esenciales
2066,7014,-4948,Reduce los egresos para ahorrar
8723,5531,3192,Considera invertir una parte
5380,3208,2172,Mantén el buen ritmo de ahorro
5107,7612,-2505,Reduce los egresos para ahorrar
6726,8893,-2167,Reduce los egresos para ahorrar
4373,4007,366,Aumenta el ahorro con los ingresos actuales
9945,6956,2989,Mantén el buen ritmo de ahorro
3082,4712,-1630,Reduce los egresos para ahorrar
9967,8470,1497,Mantén el buen ritmo de ahorro
7748,1036,6712,Considera invertir una parte
1417,2125,-708,Prioriza gastos esenciales
9306,8473,833,Aumenta el ahorro con los ingresos actuales
9808,8570,1238,Mantén el buen ritmo de ahorro
4974,6990,-2016,Reduce los egresos para ahorrar
4267,4100,167,Aumenta el ahorro con los ingresos actuales
1825,7283,-5458,Reduce los egresos para ahorrar
8668,5471,3197,Considera invertir una parte
6745,1705,5040,Considera invertir una parte
1412,2490,-1078,Reduce los egresos para ahorrar
8543,5799,2744,Mantén el buen ritmo de ahorro
8587,4072,4515,Considera invertir una parte
1728,6475,-4747,Reduce los egresos para ahorrar
8164,6820,1344,Mantén el buen ritmo de ahorro
9867,4880,4987,Considera invertir una parte
6988,5257,1731,Mantén el buen ritmo de ahorro
3504,3213,291,Aumenta el ahorro con los ingresos actuales
3967,6088,-2121,Reduce los egresos para ahorrar
3786,1466,2320,Mantén el buen ritmo de ahorro
2122,5444,-3322,Reduce los egresos para ahorrar
5079,3932,1147,Mantén el buen ritmo de ahorro
2571,1188,1383,Mantén el buen ritmo de ahorro
6073,4743,1330,Mantén el buen ritmo de ahorro
6104,4201,1903,Mantén el buen ritmo de ahorro
3143,5682,-2539,Reduce los egresos para ahorrar
7806,7204,602,Aumenta el ahorro con los ingresos actuales
8357,4922,3435,Considera invertir una parte
4440,2259,2181,Mantén el buen ritmo de ahorro
4766,2982,1784,Mantén el buen ritmo de ahorro
6644,8558,-1914,Reduce los egresos para ahorrar
3914,1451,2463,Mantén el buen ritmo de ahorro
5968,2579,3389,Considera invertir una parte
6917,3217,3700,Considera invertir una parte
9787,5024,4763,Considera invertir una parte
1728,8977,-7249,Reduce los egresos para ahorrar
2365,7811,-5446,Reduce los egresos para ahorrar
5492,7686,-2194,Reduce los egresos para ahorrar
1698,2565,-867,Prioriza gastos esenciales
8186,1268,6918,Considera invertir una parte
1395,5990,-4595,Reduce los egresos para ahorrar
8400,7145,1255,Mantén el buen ritmo de ahorro
9082,5583,3499,Considera invertir una parte
5171,5732,-561,Prioriza gastos esenciales
5360,6297,-937,Prioriza gastos esenciales
3502,5426,-1924,Reduce los egresos para ahorrar
1717,6516,-4799,Reduce los egresos para ahorrar
3782,3835,-53,Prioriza gastos esenciales
5946,8538,-2592,Reduce los egresos para ahorrar
6486,5373,1113,Mantén el buen ritmo de ahorro
9335,1981,7354,Considera invertir una parte
5980,6805,-825,Prioriza gastos esenciales
8266,3951,4315,Considera invertir una parte
5491,554,4937,Considera invertir una parte
8192,8143,49,Aumenta el ahorro con los ingresos actuales
6588,3962,2626,Mantén el buen ritmo de ahorro
8651,1332,7319,Considera invertir una parte
4636,6454,-1818,Reduce los egresos para ahorrar
2167,7721,-5554,Reduce los egresos para ahorrar
2062,3810,-1748,Reduce los egresos para ahorrar
3156,3800,-644,Prioriza gastos esenciales
8860,7222,1638,Mantén el buen ritmo de ahorro
6161,7718,-1557,Reduce los egresos para ahorrar
6305,8276,-1971,Reduce los egresos para ahorrar
7541,4175,3366,Considera invertir una parte
5729,3554,2175,Mantén el buen ritmo de ahorro
8330,8470,-140,Prioriza gastos esenciales
6334,2643,3691,Considera invertir una parte
9924,5707,4217,Considera invertir una parte
5330,3038,2292,Mantén el buen ritmo de ahorro
9010,5047,3963,Considera invertir una parte
7801,6119,1682,Mantén el buen ritmo de ahorro
5846,8856,-3010,Reduce los egresos para ahorrar
7731,7112,619,Aumenta el ahorro con los ingresos actuales
